,open,high,low,close,volume
2010-02-01,71.42,73.65,71.13,73.11,158966.0
2010-02-02,73.6,76.17,73.0,76.06,199679.0
2010-02-03,75.82,76.99,75.46,75.92,236886.0
2010-02-04,75.9,75.95,71.43,72.13,254501.0
2010-02-05,72.13,72.52,67.87,69.59,288548.0
2010-02-08,70.36,70.82,69.21,70.11,167780.0
2010-02-09,69.63,72.47,69.61,72.13,183854.0
2010-02-10,71.89,73.0,70.83,72.54,155736.0
2010-02-11,72.8,73.58,72.02,73.05,21538.0
2010-02-12,73.91,74.0,71.65,72.9,169521.0
2010-02-15,73.12,73.15,72.29,72.51,54665.0
2010-02-16,72.62,76.0,72.55,75.68,158289.0
2010-02-17,75.73,76.48,75.4,76.27,186331.0
2010-02-18,75.85,78.0,75.27,77.78,194518.0
2010-02-19,76.99,78.45,76.45,78.19,171868.0
2010-02-22,78.44,78.94,77.85,78.61,150874.0
2010-02-23,78.4,78.64,76.57,77.25,186684.0
2010-02-24,77.35,78.5,76.63,78.09,160343.0
2010-02-25,77.8,78.42,75.29,76.29,183427.0
2010-02-26,76.45,77.99,75.91,77.59,155235.0
2010-03-01,77.69,78.47,76.21,76.89,146678.0
2010-03-02,77.05,79.25,76.55,78.18,226240.0
2010-03-03,78.27,79.58,77.88,79.25,181478.0
2010-03-04,79.32,79.42,78.15,78.54,192480.0
2010-03-05,78.92,80.53,78.8,79.89,159980.0
2010-03-08,80.21,80.92,79.45,80.47,148419.0
2010-03-09,80.26,80.4,78.7,79.91,136457.0
2010-03-10,79.7,81.46,79.22,80.48,184256.0
2010-03-11,80.29,80.67,79.65,80.28,143394.0
2010-03-12,80.41,81.29,78.7,79.39,115265.0
2010-03-15,79.09,79.53,77.27,77.89,90842.0
2010-03-16,78.55,81.0,78.13,80.53,184538.0
2010-03-17,80.92,82.08,80.53,81.96,167415.0
2010-03-18,81.9,81.9,80.9,81.48,150287.0
2010-03-19,81.42,81.42,79.2,79.88,177965.0
2010-03-22,79.61,80.8,78.0,80.54,166802.0
2010-03-23,80.74,81.17,79.85,80.7,154560.0
2010-03-24,80.37,80.37,78.9,79.62,182477.0
2010-03-25,79.35,80.46,79.22,79.34,158942.0
2010-03-26,79.36,80.68,78.77,79.29,165760.0
2010-03-29,79.48,81.9,79.48,81.17,144883.0
2010-03-30,81.32,81.78,80.71,81.28,151504.0
2010-03-31,81.35,82.82,81.1,82.7,163007.0
2010-04-01,82.51,84.5,82.22,84.01,140428.0
2010-04-05,84.47,86.09,84.05,85.88,63398.0
2010-04-06,85.9,86.63,85.35,86.15,126007.0
2010-04-07,85.97,86.47,85.16,85.59,160317.0
2010-04-08,85.35,85.55,84.2,84.81,162316.0
2010-04-09,85.18,85.94,83.95,84.83,160922.0
2010-04-12,85.0,85.74,84.5,84.57,4607.0
2010-04-13,84.87,85.74,83.52,84.48,4632.0
2010-04-14,85.61,87.38,84.43,86.89,6257.0
2010-04-15,85.56,87.97,85.43,87.6,6801.0
2010-04-16,87.0,87.97,85.13,85.83,6394.0
2010-04-19,85.74,85.74,83.25,84.5,9669.0
2010-04-20,85.74,85.74,83.25,85.11,8163.0
2010-04-21,84.51,86.16,84.48,85.78,9386.0
2010-04-22,85.17,86.3,84.17,85.72,9852.0
2010-04-23,85.68,87.33,84.15,87.21,8276.0
2010-04-26,87.27,87.75,86.46,86.69,7013.0
2010-04-27,87.27,87.75,85.2,85.2,8392.0
2010-04-28,86.83,87.15,84.88,86.28,7739.0
2010-04-29,85.29,87.66,84.88,87.15,7689.0
2010-04-30,86.24,87.72,85.88,87.47,14148.0
2010-05-03,87.44,89.57,87.16,88.82,11802.0
2010-05-04,87.44,89.58,85.16,85.24,20193.0
2010-05-05,88.76,89.05,82.14,82.25,20173.0
2010-05-06,85.2,85.95,77.55,79.5,21605.0
2010-05-07,82.65,82.98,77.51,78.58,27029.0
2010-05-10,78.9,81.76,78.89,80.64,19432.0
2010-05-11,79.8,81.76,78.89,80.38,22196.0
2010-05-12,81.36,82.86,81.1,82.41,19292.0
2010-05-13,81.36,82.94,81.04,81.16,26409.0
2010-05-14,82.44,82.94,77.57,78.4,31896.0
2010-05-17,78.05,78.5,74.75,75.65,28516.0
2010-05-18,78.04,78.47,74.01,74.25,29116.0
2010-05-19,75.77,76.6,72.73,73.66,12612.0
2010-05-20,74.0,74.5,70.2,70.81,41954.0
2010-05-21,73.75,74.23,70.2,72.11,16009.0
2010-05-24,71.8,72.26,70.89,71.0,9353.0
2010-05-25,71.8,72.26,68.15,70.61,13626.0
2010-05-26,70.92,72.07,68.15,71.2,15263.0
2010-05-27,70.55,74.93,69.69,74.93,16178.0
2010-05-28,74.7,75.74,73.28,74.2,16102.0
2010-05-31,74.03,74.72,74.02,74.6,2660.0
2010-06-01,74.02,75.38,71.51,72.1,37472.0
2010-06-02,74.82,75.39,71.51,74.54,26408.0
2010-06-03,72.32,75.57,71.97,75.45,22043.0
2010-06-04,74.5,76.55,71.48,71.66,26950.0
2010-06-07,71.55,72.91,70.5,71.69,13626.0
2010-06-08,71.55,72.95,70.5,72.51,20906.0
2010-06-09,71.51,74.74,71.26,73.8,16324.0
2010-06-10,72.49,75.82,72.06,75.31,18896.0
2010-06-11,73.92,75.88,73.6,74.79,21259.0
2010-06-14,74.51,76.3,74.44,74.73,8977.0
2010-06-15,74.51,76.34,74.44,76.21,1243.0
2010-06-16,75.11,78.56,74.79,78.19,30773.0
2010-06-17,77.19,79.1,76.6,78.59,23609.0
2010-06-18,78.1,79.1,77.25,78.42,21350.0
2010-06-21,78.49,79.85,77.77,78.22,19099.0
2010-06-22,78.49,79.86,77.56,77.8,24566.0
2010-06-23,78.76,79.12,75.58,75.92,17596.0
2010-06-24,77.99,78.18,75.54,76.41,11726.0
2010-06-25,76.03,78.5,75.4,78.41,21013.0
2010-06-28,78.14,78.66,77.06,77.59,16441.0
2010-06-29,76.14,78.66,74.82,74.83,12638.0
2010-06-30,77.75,77.75,74.04,74.73,13981.0
2010-07-01,74.9,76.25,71.5,72.07,12714.0
2010-07-02,74.65,74.65,71.21,71.93,10541.0
2010-07-05,71.56,72.28,71.06,71.5,4495.0
2010-07-06,71.55,73.28,70.77,71.6,14059.0
2010-07-07,71.47,74.32,70.77,74.26,9473.0
