,open,high,low,close,volume
2000-01-31,5.26,5.29,5.25,5.25,0.0
2000-02-01,5.25,5.26,5.2,5.2,0.0
2000-02-02,5.2,5.26,5.18,5.18,0.0
2000-02-03,5.19,5.25,5.19,5.23,0.0
2000-02-04,5.24,5.29,5.24,5.29,0.0
2000-02-07,5.55,5.55,5.22,5.22,0.0
2000-02-08,5.23,5.32,5.23,5.28,0.0
2000-02-09,5.28,5.39,5.28,5.36,0.0
2000-02-10,5.35,5.41,5.35,5.36,0.0
2000-02-11,5.37,5.38,5.29,5.29,0.0
2000-02-14,5.29,5.29,5.24,5.24,0.0
2000-02-15,5.24,5.26,5.22,5.22,0.0
2000-02-16,5.2,5.27,5.2,5.26,0.0
2000-02-17,5.26,5.32,5.23,5.23,0.0
2000-02-18,5.22,5.25,5.22,5.25,0.0
2000-02-21,5.25,5.25,5.24,5.24,0.0
2000-02-22,5.23,5.26,5.23,5.26,0.0
2000-02-23,5.25,5.27,5.22,5.22,0.0
2000-02-24,5.2,5.22,5.14,5.14,0.0
2000-02-25,5.15,5.16,5.05,5.05,0.0
2000-02-28,5.07,5.13,5.06,5.06,0.0
2000-02-29,5.05,5.11,5.05,5.07,0.0
2000-03-01,5.07,5.12,5.07,5.08,0.0
2000-03-02,5.11,5.12,5.03,5.03,0.0
2000-03-03,5.03,5.13,5.03,5.11,0.0
2000-03-06,5.1,5.11,5.06,5.06,0.0
2000-03-07,5.06,5.13,5.06,5.08,0.0
2000-03-08,5.09,5.1,5.09,5.09,0.0
2000-03-09,5.08,5.11,5.08,5.1,0.0
2000-03-10,5.1,5.12,5.06,5.06,0.0
2000-03-13,5.08,5.12,5.08,5.09,0.0
2000-03-14,5.09,5.16,5.09,5.12,0.0
2000-03-15,5.12,5.13,5.09,5.09,0.0
2000-03-16,5.09,5.11,5.09,5.09,0.0
2000-03-20,5.05,5.15,5.05,5.12,0.0
2000-03-21,5.11,5.16,5.11,5.12,0.0
2000-03-22,5.12,5.13,5.12,5.13,0.0
2000-03-23,5.08,5.13,5.08,5.1,0.0
2000-03-27,5.09,5.1,5.07,5.07,0.0
2000-03-28,5.06,5.08,4.95,4.95,0.0
2000-03-29,4.92,5.01,4.92,4.95,0.0
2000-03-30,4.95,5.02,4.95,5.01,0.0
2000-04-03,5.0,5.05,5.0,5.03,0.0
2000-04-04,5.02,5.18,5.02,5.14,0.0
2000-04-05,5.15,5.16,5.15,5.16,0.0
2000-04-06,5.09,5.12,5.09,5.12,0.0
2000-04-07,5.1,5.11,5.09,5.09,0.0
2000-04-10,5.08,5.15,5.08,5.13,0.0
2000-04-11,5.13,5.13,5.13,5.13,0.0
2000-04-12,5.11,5.15,5.11,5.12,0.0
2000-04-13,5.13,5.16,5.13,5.15,0.0
2000-04-14,5.14,5.14,5.11,5.11,0.0
2000-04-17,5.14,5.16,5.11,5.11,0.0
2000-04-18,5.09,5.15,5.09,5.11,0.0
2000-04-19,5.1,5.12,5.1,5.1,0.0
2000-04-20,5.1,5.11,4.97,4.97,0.0
2000-04-21,4.97,4.99,4.97,4.97,0.0
2000-04-24,4.99,5.01,4.93,4.93,0.0
2000-04-25,4.94,5.01,4.94,5.0,0.0
2000-04-26,5.0,5.0,4.94,4.94,0.0
2000-04-27,4.94,4.99,4.94,4.95,0.0
2000-04-28,4.96,4.99,4.96,4.97,0.0
2000-05-01,4.96,5.05,4.96,5.02,0.0
2000-05-02,5.02,5.04,5.02,5.03,0.0
2000-05-03,5.02,5.04,5.01,5.01,0.0
2000-05-04,5.02,5.12,5.02,5.1,0.0
2000-05-05,5.11,5.12,5.0,5.0,0.0
2000-05-08,5.0,5.04,5.0,5.01,0.0
