,name,pe,pe_ratio,pe_state,pe_min,pe_max,pe_median,pe_mean,pe_drop,pe_q10,pe_q20,pe_q40,pe_q50,pe_q60,pe_q80,pe_q90,pb,pb_ratio,pb_state,pb_min,pb_max,pb_median,pb_mean,pb_drop,pb_q10,pb_q20,pb_q40,pb_q50,pb_q60,pb_q80,pb_q90,dyr,dyr_ratio,dyr_state,dyr_min,dyr_max,dyr_median,dyr_mean,dyr_drop,dyr_q10,dyr_q20,dyr_q40,dyr_q50,dyr_q60,dyr_q80,dyr_q90,sample,start,update,aid
ZXB,中小板,27.24,22.18,偏低,13.62,84.11,35.21,36.48,-50.0,24.65,26.71,31.94,35.21,38.23,45.72,48.89,2.74,18.89,较低,1.4,8.67,3.33,3.56,-48.91,2.51,2.76,3.07,3.33,3.62,4.38,4.78,1.03,48.43,合理,0.29,5.28,1.05,1.14,-71.84,0.51,0.7,0.95,1.05,1.14,1.47,1.97,2133,2011-05-03,2020-02-07,10
CYB,创业板,46.02,50.49,合理,9.91,147.06,45.77,49.57,-78.47,24.52,32.19,41.34,45.77,50.86,64.26,74.98,4.25,54.66,合理,1.38,13.05,4.13,4.54,-67.53,2.73,2.98,3.72,4.13,4.49,5.88,6.88,0.51,47.35,合理,0.14,2.86,0.52,0.63,-72.55,0.25,0.33,0.48,0.52,0.59,0.97,1.2,2133,2011-05-03,2020-02-07,10
SZB,深市主板,15.94,11.35,较低,9.48,46.53,19.71,21.66,-40.53,15.85,16.72,18.53,19.71,22.5,25.58,30.57,1.73,9.33,极低,1.42,5.66,2.27,2.43,-17.92,1.73,1.88,2.16,2.27,2.41,2.85,3.49,1.6,63.57,偏高,0.36,6.32,1.23,1.61,-77.5,0.84,0.95,1.13,1.23,1.47,1.89,2.26,2133,2011-05-03,2020-02-07,10
SZA,深圳A股,24.61,34.65,偏低,9.32,68.35,26.64,29.52,-62.13,21.81,23.03,25.17,26.64,28.96,36.99,40.06,2.54,27.24,偏低,1.69,6.86,2.9,3.1,-33.46,2.31,2.46,2.68,2.9,3.14,3.72,3.99,1.06,45.85,合理,0.32,5.34,1.08,1.17,-69.81,0.59,0.79,1.02,1.08,1.14,1.36,1.75,2133,2011-05-03,2020-02-07,10
SHA,上海A股,12.9,42.29,合理,9.27,59.05,13.31,13.63,-28.14,10.2,10.99,12.75,13.31,14.15,15.92,16.66,1.38,10.92,较低,1.24,4.94,1.66,1.7,-10.14,1.37,1.42,1.58,1.66,1.72,1.89,2.09,2.23,55.41,合理,0.16,5.95,2.12,2.21,-92.83,1.69,1.83,2.03,2.12,2.29,2.68,2.91,2133,2011-05-03,2020-02-07,10
HSA,沪深A股,15.93,49.09,合理,11.69,54.22,16.02,17.09,-26.62,12.81,13.45,15.13,16.02,17.98,20.68,21.67,1.7,19.46,较低,1.43,3.95,2.01,2.05,-15.88,1.63,1.7,1.86,2.01,2.13,2.3,2.55,1.75,42.24,合理,0.29,2.91,1.81,1.82,-83.43,1.31,1.47,1.73,1.81,1.89,2.2,2.33,2133,2011-05-03,2020-02-07,10
ZXB,中小板,27.24,28.15,偏低,13.62,84.11,38.77,38.56,-50.0,23.68,25.46,35.61,38.77,42.83,47.75,53.09,2.74,26.67,偏低,1.53,8.67,3.78,3.84,-44.16,2.44,2.57,3.57,3.78,4.22,4.72,5.48,1.03,49.55,合理,0.29,5.28,1.03,1.18,-71.84,0.46,0.53,0.94,1.03,1.12,1.94,2.04,1215,2015-02-09,2020-02-07,5
CYB,创业板,46.02,43.87,合理,13.0,147.06,49.35,56.9,-71.75,33.9,39.06,45.19,49.35,57.89,73.24,89.29,4.25,43.62,合理,1.76,13.05,4.53,5.25,-58.59,3.2,3.58,4.18,4.53,5.51,6.66,8.33,0.51,63.87,偏高,0.14,2.86,0.46,0.44,-72.55,0.23,0.26,0.36,0.46,0.49,0.59,0.65,1215,2015-02-09,2020-02-07,5
SZB,深市主板,15.94,19.09,较低,12.06,46.53,22.01,21.29,-24.34,14.88,16.0,18.57,22.01,23.37,25.22,26.56,1.73,16.38,较低,1.42,5.66,2.35,2.34,-17.92,1.66,1.75,2.24,2.35,2.46,2.64,3.05,1.6,36.3,偏低,0.49,6.32,1.72,1.98,-69.38,0.81,0.95,1.62,1.72,1.84,2.22,4.44,1215,2015-02-09,2020-02-07,5
SZA,深圳A股,24.61,30.45,偏低,17.18,68.35,33.28,32.44,-30.19,21.56,22.97,28.34,33.28,35.37,39.6,43.62,2.54,28.81,偏低,1.85,6.86,3.25,3.32,-27.17,2.24,2.37,3.06,3.25,3.6,3.94,4.6,1.06,37.61,偏低,0.32,5.34,1.12,1.27,-69.81,0.52,0.61,1.07,1.12,1.16,1.72,2.38,1215,2015-02-09,2020-02-07,5
