,name,net_profit,net_assets,good_will,good_will_ratio,industry,ipo_date
300459.XSHE,金科文化,20.348,68.2295,63.7668,93.4592,传媒I,2015-05-15
300010.XSHE,立思辰,7.5686,56.4413,41.56,73.6339,计算机I,2009-10-30
300058.XSHE,蓝色光标,10.6055,65.2642,47.1449,72.237,传媒I,2010-02-26
300315.XSHE,掌趣科技,14.216,91.0355,53.918,59.2274,传媒I,2012-05-11
300244.XSHE,迪安诊断,15.1373,36.2932,19.4326,53.5432,医药生物I,2011-07-19
300182.XSHE,捷成股份,22.147,105.0602,55.4743,52.8024,传媒I,2011-02-22
300285.XSHE,国瓷材料,12.0025,33.3559,15.2352,45.6746,化工I,2012-01-13
300159.XSHE,新研股份,13.4936,66.0827,28.864,43.6787,国防军工I,2011-01-07
300002.XSHE,神州泰岳,-2.1748,49.7972,20.6262,41.4203,计算机I,2009-10-30
300308.XSHE,中际旭创,16.457,45.3781,17.1676,37.8324,通信I,2012-04-10
300324.XSHE,旋极信息,11.0956,53.2143,19.4198,36.4936,计算机I,2012-06-08
300383.XSHE,光环新网,18.305,67.4835,23.979,35.5332,通信I,2014-01-29
300296.XSHE,利亚德,36.0032,76.1444,26.8937,35.3194,电子I,2012-03-15
300180.XSHE,华峰超纤,7.2412,51.1627,17.3315,33.8753,化工I,2011-02-22
300113.XSHE,顺网科技,20.7147,34.1271,10.9929,32.2116,传媒I,2010-08-27
300297.XSHE,蓝盾股份,8.0893,43.9513,13.0271,29.6399,计算机I,2012-03-15
300009.XSHE,安科生物,10.2272,19.8435,5.6316,28.3799,医药生物I,2009-10-30
300168.XSHE,万达信息,7.0704,35.5759,10.0507,28.2515,计算机I,2011-01-25
300027.XSHE,华谊兄弟,6.4464,110.4193,30.5968,27.7097,传媒I,2009-10-30
300418.XSHE,昆仑万维,29.6881,59.4019,15.3488,25.8389,传媒I,2015-01-21
300199.XSHE,翰宇药业,8.3767,40.1714,8.724,21.717,医药生物I,2011-04-07
300166.XSHE,东方国信,7.9176,47.2679,10.0444,21.25,计算机I,2011-01-25
300133.XSHE,华策影视,10.367,72.2072,13.2941,18.411,传媒I,2010-10-26
300026.XSHE,红日药业,12.2637,69.2816,11.7711,16.9902,医药生物I,2009-10-30
300253.XSHE,卫宁健康,6.9478,30.9557,4.749,15.3412,计算机I,2011-08-18
300197.XSHE,铁汉生态,-2.3653,69.0482,9.1898,13.3092,建筑装饰I,2011-03-29
300115.XSHE,长盈精密,8.5496,47.1754,3.9277,8.3257,电子I,2010-09-02
300257.XSHE,开山股份,3.6548,34.5978,2.5608,7.4016,机械设备I,2011-08-19
300012.XSHE,华测检测,11.4327,26.678,1.7449,6.5408,综合I,2009-10-30
300088.XSHE,长信科技,24.897,47.9509,2.7406,5.7154,电子I,2010-05-26
300001.XSHE,特锐德,1.7655,34.1718,1.8673,5.4645,电气设备I,2009-10-30
300251.XSHE,光线传媒,17.8371,97.594,2.4106,2.47,传媒I,2011-08-03
300014.XSHE,亿纬锂能,22.0726,35.4228,0.658,1.8575,电子I,2009-10-30
300207.XSHE,欣旺达,21.0259,50.7504,0.7073,1.3937,电子I,2011-04-21
300072.XSHE,三聚环保,2.6911,116.6006,1.3526,1.16,化工I,2010-04-27
300529.XSHE,健帆生物,9.5824,15.9693,0.1772,1.1095,医药生物I,2016-08-02
300376.XSHE,易事特,19.125,48.9136,0.4715,0.9639,电气设备I,2014-01-27
300134.XSHE,大富科技,-5.1413,52.7633,0.3189,0.6044,通信I,2010-10-26
