,name,net_profit,net_assets,good_will,good_will_ratio,industry,ipo_date
300071.XSHE,华谊嘉信,-1.0183,0.8147,3.8066,467.2097,传媒I,2010-04-21
300268.XSHE,佳沃股份,-5.2974,8.1362,15.0478,184.9481,农林牧渔I,2011-09-27
300143.XSHE,盈康生命,1.7584,21.0592,18.9419,89.9461,医药生物I,2010-12-09
300459.XSHE,金科文化,19.0531,71.304,62.6099,87.807,传媒I,2015-05-15
300299.XSHE,富春股份,0.3937,10.9515,9.1052,83.1409,传媒I,2012-03-19
300010.XSHE,立思辰,2.4922,34.9759,28.8438,82.4676,计算机I,2009-10-30
300344.XSHE,太空智造,0.1033,5.9985,4.6348,77.2658,计算机I,2012-08-01
300318.XSHE,博晖创新,0.3524,10.4535,7.8659,75.2469,医药生物I,2012-05-23
300578.XSHE,会畅通讯,1.4961,10.2092,7.6155,74.5943,通信I,2017-01-25
300465.XSHE,高伟达,3.6709,12.6694,9.1902,72.5389,计算机I,2015-05-28
300149.XSHE,量子生物,3.1441,22.499,16.1706,71.8724,医药生物I,2010-12-22
300278.XSHE,华昌达,-17.9544,10.3817,7.349,70.7883,机械设备I,2011-12-16
300379.XSHE,东方通,0.3858,15.3202,10.7705,70.3029,计算机I,2014-01-28
300109.XSHE,新开源,4.4708,30.3579,21.2827,70.1058,化工I,2010-08-25
300629.XSHE,新劲刚,-0.6037,6.6272,4.4952,67.8305,机械设备I,2017-03-24
300338.XSHE,开元股份,1.6326,21.6174,13.9225,64.4044,传媒I,2012-07-26
300083.XSHE,劲胜智能,-9.8125,26.74,16.5352,61.8371,电子I,2010-05-20
300192.XSHE,科斯伍德,6.057,9.6819,5.9633,61.5927,传媒I,2011-03-22
300449.XSHE,汉邦高科,-0.528,14.2442,8.65,60.7266,计算机I,2015-04-22
300603.XSHE,立昂技术,4.7473,23.7638,14.1945,59.7317,通信I,2017-01-26
300467.XSHE,迅游科技,2.8234,23.9496,14.1732,59.1793,传媒I,2015-05-27
300464.XSHE,星徽精密,3.5218,17.4893,10.1797,58.2054,机械设备I,2015-06-10
300038.XSHE,数知科技,6.964,110.9255,63.1425,56.9234,传媒I,2010-01-08
300145.XSHE,中金环境,9.4789,52.493,29.3227,55.8602,机械设备I,2010-12-09
