,pe,pb,ps,pcf,roe,dyr,cap,open,close,low,high,pre_close,volume,money
2016-09-01,27.84,6.12,10.53,42.92,21.99,,88.2,16.72,20.06,16.72,20.06,13.93,18203.0,364819.0
2016-09-02,30.63,6.73,11.59,47.21,21.99,,97.02,22.07,22.07,22.07,22.07,20.06,8374.0,184800.0
2016-09-05,33.69,7.41,12.74,51.93,21.99,,106.72,24.27,24.27,24.27,24.27,22.07,6909.0,167706.0
2016-09-06,37.06,8.15,14.02,57.12,21.99,,117.39,26.7,26.7,26.7,26.7,24.27,7956.0,212420.0
2016-09-07,40.77,8.96,15.42,62.84,21.99,,129.15,29.38,29.38,29.38,29.38,26.7,3978.0,116850.0
2016-09-08,44.86,9.86,16.97,69.14,21.99,,142.09,32.32,32.32,32.32,32.32,29.38,13922.0,449939.0
2016-09-09,49.34,10.85,18.66,76.04,21.99,,156.28,35.55,35.55,35.55,35.55,32.32,21882.0,777838.0
2016-09-12,54.27,11.93,20.53,83.65,21.99,,171.91,39.1,39.1,39.1,39.1,35.55,52062.0,2035654.0
2016-09-13,59.69,13.12,22.58,92.0,21.99,,189.08,43.01,43.01,43.01,43.01,39.1,62437.0,2685263.0
2016-09-14,65.66,14.44,24.84,101.2,21.99,,207.98,47.31,47.31,47.31,47.31,43.01,99050.0,4685681.0
2016-09-19,72.22,15.88,27.32,111.32,21.99,,228.77,52.04,52.04,52.04,52.04,47.31,117484.0,6113277.0
2016-09-20,79.45,17.47,30.05,122.45,21.99,,251.66,57.24,57.24,57.24,57.24,52.04,241421.0,13819290.0
2016-09-21,76.35,16.79,28.88,117.67,21.99,,241.84,62.96,55.01,54.93,62.96,57.24,23661697.0,1363370095.0
2016-09-22,73.79,16.22,27.91,113.73,21.99,,233.73,54.57,53.16,52.36,55.03,55.01,15905543.0,850707271.0
2016-09-23,71.6,15.74,27.08,110.36,21.99,,226.8,54.07,51.59,51.51,54.27,53.16,11494096.0,610564271.0
2016-09-26,66.47,14.61,25.14,102.45,21.99,,210.55,50.41,47.89,47.76,51.08,51.59,8679599.0,429606531.0
2016-09-27,66.46,14.61,25.14,102.43,21.99,,210.5,47.57,47.88,46.36,48.67,47.89,7545764.0,357355536.0
2016-09-28,65.77,14.46,24.88,101.36,21.99,,208.32,47.91,47.38,46.83,47.91,47.88,4390135.0,208076740.0
2016-09-29,66.57,14.64,25.18,102.61,21.99,,210.88,47.42,47.97,47.42,48.72,47.38,5141962.0,247873847.0
2016-09-30,68.91,15.15,26.07,106.21,21.99,,218.27,47.38,49.65,47.38,50.27,47.97,6080522.0,296246831.0
2016-10-10,73.24,16.1,27.71,112.89,21.99,,232.01,50.08,52.77,50.08,53.58,49.65,8150512.0,424965704.0
2016-10-11,74.22,16.32,28.08,114.4,21.99,,235.12,53.11,53.48,52.06,54.12,52.77,8030834.0,427854791.0
2016-10-12,76.64,16.85,28.99,118.12,21.99,,242.76,52.82,55.22,52.55,56.17,53.48,7326578.0,399748760.0
2016-10-13,75.66,16.63,28.62,116.61,21.99,,239.65,54.67,54.51,53.61,55.2,55.22,4183966.0,227284424.0
2016-10-14,75.1,16.51,28.41,115.75,21.99,,237.89,54.1,54.11,53.97,55.87,54.51,4784426.0,262359971.0
2016-10-17,72.3,15.9,27.35,111.44,21.99,,229.03,54.11,52.09,51.88,54.13,54.11,3390369.0,179298487.0
2016-10-18,73.04,16.06,27.63,112.58,21.99,,231.38,51.85,52.63,51.68,52.96,52.09,2992415.0,156409118.0
2016-10-19,74.05,16.28,28.01,114.14,21.99,,234.57,53.01,53.35,52.28,54.45,52.63,3249107.0,174479451.0
2016-10-20,72.67,15.98,27.49,112.01,21.99,,230.2,53.49,52.36,52.23,54.21,53.35,3010829.0,158768843.0
2016-10-21,73.2,16.09,27.69,112.83,21.99,,231.88,52.67,52.74,51.39,52.91,52.36,2182472.0,113974340.0
2016-10-24,77.47,17.03,29.31,119.41,21.99,,245.41,52.93,55.82,52.45,55.96,52.74,5517829.0,301593241.0
2016-10-25,76.43,16.8,28.91,117.79,21.99,,242.09,55.88,55.06,54.93,56.91,55.82,4738359.0,264346354.0
2016-10-26,71.56,15.48,26.73,34.93,21.63,,239.95,55.42,54.58,53.76,55.79,55.06,3364189.0,183578240.0
2016-10-27,74.26,16.07,27.74,36.25,21.63,,249.02,54.59,56.64,54.07,56.86,54.58,5345971.0,297068519.0
2016-10-28,73.16,15.83,27.33,35.72,21.63,,245.32,56.08,55.8,55.26,57.54,56.64,5921967.0,334391550.0
2016-10-31,71.38,15.44,26.67,34.85,21.63,,239.36,55.26,54.44,53.31,55.26,55.8,3002257.0,163133886.0
2016-11-01,75.18,16.26,28.08,36.7,21.63,,252.08,54.41,57.34,54.32,57.43,54.44,5390935.0,303296999.0
2016-11-02,75.09,16.24,28.05,36.66,21.63,,251.79,57.01,57.27,56.36,58.6,57.34,4902471.0,280544829.0
2016-11-03,73.64,15.93,27.51,35.95,21.63,,246.92,56.82,56.16,55.7,57.38,57.27,5109269.0,288619925.0
2016-11-04,76.52,16.55,28.58,37.35,21.63,,256.58,55.88,58.36,55.81,58.92,56.16,6759142.0,390200746.0
2016-11-07,75.64,16.36,28.26,36.93,21.63,,253.64,58.19,57.69,57.38,59.71,58.36,6132185.0,358836341.0
2016-11-08,76.52,16.55,28.58,37.35,21.63,,256.58,58.08,58.36,56.84,58.75,57.69,4607643.0,265973599.0
2016-11-09,78.31,16.94,29.25,38.23,21.63,,262.58,58.4,59.73,57.71,61.14,58.36,8414506.0,501450286.0
2016-11-10,86.14,18.64,32.18,42.05,21.63,,288.83,59.75,65.7,59.72,65.7,59.73,10980361.0,687478739.0
2016-11-11,85.7,18.54,32.01,41.84,21.63,,287.36,66.78,65.36,65.25,71.48,65.7,14966831.0,1013721279.0
2016-11-14,83.18,18.0,31.07,40.61,21.63,,278.92,64.02,63.44,62.48,66.38,65.36,7439126.0,475303217.0
2016-11-15,81.05,17.53,30.28,39.57,21.63,,271.78,63.96,61.82,60.81,64.05,63.44,6683432.0,414410535.0
2016-11-16,78.08,16.89,29.17,38.12,21.63,,261.83,61.7,59.55,59.36,61.98,61.82,4662050.0,282311513.0
2016-11-17,78.59,17.0,29.36,38.36,21.63,,263.51,59.52,59.94,59.25,60.76,59.55,3557692.0,214264391.0
2016-11-18,78.54,16.99,29.34,38.34,21.63,,263.34,59.94,59.9,59.71,61.59,59.94,3604596.0,218883160.0
2016-11-21,80.64,17.45,30.12,39.37,21.63,,270.4,60.18,61.5,58.32,61.59,59.9,4995973.0,298699040.0
2016-11-22,82.06,17.75,30.65,40.06,21.63,,275.14,61.02,62.58,60.79,62.86,61.5,4756716.0,296164856.0
2016-11-23,78.8,17.05,29.44,38.47,21.63,,264.22,62.48,60.1,59.99,62.55,62.58,4116999.0,251785542.0
2016-11-24,75.97,16.43,28.38,37.09,21.63,,254.73,60.09,57.94,57.6,60.47,60.1,3724474.0,219637028.0
2016-11-25,74.55,16.13,27.85,36.39,21.63,,249.98,57.7,56.86,54.95,58.13,57.94,3753380.0,211122036.0
2016-11-28,75.35,16.3,28.15,36.79,21.63,,252.67,56.74,57.47,55.7,58.61,56.86,2997125.0,171810015.0
2016-11-29,72.7,15.73,27.16,35.49,21.63,,243.77,57.05,55.45,55.41,57.51,57.47,2337818.0,131499961.0
