,pe,pb,ps,pcf,roe,dyr,cap,open,close,low,high,pre_close,volume,money
2005-01-04,22.49,3.75,0.76,-18.73,16.67,4.96,62.14,1.73,1.68,1.68,1.74,1.73,2465116.0,4163377.0
2005-01-05,22.47,3.75,0.76,-18.71,16.67,4.96,62.09,1.68,1.68,1.65,1.69,1.68,2554005.0,4241847.0
2005-01-06,22.06,3.68,0.74,-18.37,16.67,5.05,60.96,1.68,1.65,1.63,1.69,1.68,5929277.0,9784208.0
2005-01-07,21.89,3.65,0.74,-18.23,16.67,5.09,60.5,1.65,1.64,1.63,1.65,1.65,1746802.0,2864519.0
2005-01-10,22.1,3.68,0.75,-18.4,16.67,5.05,61.06,1.64,1.65,1.59,1.66,1.64,1687852.0,2761746.0
2005-01-11,22.17,3.7,0.75,-18.46,16.67,5.03,61.27,1.67,1.66,1.65,1.67,1.65,1911093.0,3169468.0
2005-01-12,22.34,3.72,0.75,-18.6,16.67,4.99,61.73,1.68,1.67,1.66,1.68,1.66,3910500.0,6527182.0
2005-01-13,22.58,3.76,0.76,-18.81,16.67,4.94,62.4,1.69,1.69,1.66,1.69,1.67,13159852.0,22053522.0
2005-01-14,22.69,3.78,0.77,-18.9,16.67,4.91,62.71,1.69,1.7,1.69,1.72,1.69,5306619.0,9019860.0
2005-01-17,22.88,3.81,0.77,-19.05,16.67,4.87,63.22,1.69,1.71,1.67,1.72,1.7,3109984.0,5304136.0
2005-01-18,22.88,3.81,0.77,-19.05,16.67,4.87,63.22,1.71,1.71,1.69,1.71,1.71,6947161.0,11813404.0
2005-01-19,22.84,3.81,0.77,-19.02,16.67,4.88,63.12,1.72,1.71,1.7,1.72,1.71,781909.0,1334000.0
2005-01-20,22.5,3.75,0.76,-18.74,16.67,4.95,62.19,1.71,1.68,1.67,1.71,1.71,651555.0,1104722.0
2005-01-21,22.1,3.68,0.75,-18.4,16.67,5.05,61.06,1.67,1.65,1.61,1.67,1.68,10812630.0,17735765.0
2005-01-24,22.47,3.75,0.76,-18.71,16.67,4.96,62.09,1.66,1.68,1.66,1.7,1.65,3228611.0,5391270.0
2005-01-25,22.64,3.77,0.76,-18.85,16.67,4.93,62.55,1.69,1.69,1.66,1.7,1.68,2153150.0,3605492.0
2005-01-26,22.99,3.83,0.78,-19.15,16.67,4.85,63.53,1.69,1.72,1.65,1.72,1.69,5226911.0,8904290.0
2005-01-27,22.86,3.81,0.77,-19.04,16.67,4.88,63.17,1.72,1.71,1.69,1.72,1.72,2292686.0,3933291.0
2005-01-28,23.21,3.87,0.78,-19.33,16.67,4.8,64.14,1.71,1.74,1.7,1.75,1.71,8851553.0,15329716.0
2005-01-31,23.73,3.96,0.8,-19.76,16.67,4.7,65.58,1.73,1.78,1.73,1.78,1.74,24780002.0,43265689.0
2005-02-01,24.29,4.05,0.82,-20.23,16.67,4.59,67.12,1.77,1.82,1.75,1.83,1.78,27435731.0,49457111.0
