,name,start_date
801740,国防军工I,2014-02-21
801020,采掘I,2004-02-10
801110,家用电器I,2004-02-10
801160,公用事业I,2004-02-10
801060,建筑建材I,2004-02-10
801770,通信I,2014-02-21
801010,农林牧渔I,2004-02-09
801120,食品饮料I,2004-02-10
801750,计算机I,2014-02-21
801050,有色金属I,2004-02-10
801890,机械设备I,2014-02-21
801170,交通运输I,2004-02-10
801090,交运设备I,2004-02-10
801710,建筑材料I,2014-02-21
801780,银行I,2014-02-21
801040,钢铁I,2004-02-10
801130,纺织服装I,2004-02-10
801880,汽车I,2014-02-21
801180,房地产I,2004-02-10
801230,综合I,2004-02-10
801220,信息服务I,2004-02-10
801760,传媒I,2014-02-21
801200,商业贸易I,2004-02-10
801140,轻工制造I,2004-02-10
801720,建筑装饰I,2014-02-21
801080,电子I,2004-02-10
801790,非银金融I,2014-02-21
801030,化工I,2004-02-10
801100,信息设备I,2004-02-10
801190,金融服务I,2004-02-10
801210,休闲服务I,2004-02-10
801730,电气设备I,2014-02-21
801070,机械设备I,2004-02-10
801150,医药生物I,2004-02-10
