,name,net_profit,net_assets,good_will,good_will_ratio,industry,ipo_date
300143.XSHE,盈康生命,1.7584,21.0592,18.9419,89.9461,医药生物I,2010-12-09
300299.XSHE,富春股份,0.3937,10.9515,9.1052,83.1409,传媒I,2012-03-19
300149.XSHE,量子生物,3.1441,22.499,16.1706,71.8724,医药生物I,2010-12-22
300278.XSHE,华昌达,-17.9544,10.3817,7.349,70.7883,机械设备I,2011-12-16
300379.XSHE,东方通,0.3858,15.3202,10.7705,70.3029,计算机I,2014-01-28
300109.XSHE,新开源,4.4708,30.3579,21.2827,70.1058,化工I,2010-08-25
300083.XSHE,劲胜智能,-9.8125,26.74,16.5352,61.8371,电子I,2010-05-20
300467.XSHE,迅游科技,2.8234,23.9496,14.1732,59.1793,传媒I,2015-05-27
300038.XSHE,数知科技,6.964,110.9255,63.1425,56.9234,传媒I,2010-01-08
300145.XSHE,中金环境,9.4789,52.493,29.3227,55.8602,机械设备I,2010-12-09
300276.XSHE,三丰智能,4.428,37.26,20.7182,55.6043,机械设备I,2011-11-15
300339.XSHE,润和软件,5.8994,47.8329,26.1585,54.6872,计算机I,2012-07-18
300123.XSHE,亚光科技,5.5216,49.4853,26.0074,52.5558,国防军工I,2010-09-28
300061.XSHE,旗天科技,-3.6594,23.1032,12.1221,52.4693,传媒I,2010-03-19
300510.XSHE,金冠股份,0.3473,41.8647,21.4685,51.2806,电气设备I,2016-05-06
300343.XSHE,联创股份,3.5871,25.6337,12.6463,49.3345,传媒I,2012-08-01
300148.XSHE,天舟文化,4.2859,34.2874,16.88,49.2309,传媒I,2010-12-15
300238.XSHE,冠昊生物,0.3331,11.5615,5.6656,49.0045,医药生物I,2011-07-06
300359.XSHE,全通教育,1.6949,14.4152,7.0561,48.9487,传媒I,2014-01-21
300184.XSHE,力源信息,7.2832,47.4555,23.096,48.6687,电子I,2011-02-22
300031.XSHE,宝通科技,5.4963,25.911,12.4049,47.8751,传媒I,2009-12-25
300353.XSHE,东土科技,-3.3988,25.0336,11.8317,47.2635,通信I,2012-09-27
300326.XSHE,凯利泰,6.8011,26.3545,12.4365,47.1892,医药生物I,2012-06-13
300423.XSHE,鲁亿通,15.5353,33.0176,15.2329,46.1356,电气设备I,2015-02-17
300131.XSHE,英唐智控,4.8862,20.5077,9.38,45.7389,电子I,2010-10-19
300410.XSHE,正业科技,1.3261,19.1183,8.625,45.114,机械设备I,2014-12-31
300130.XSHE,新国都,16.396,24.8217,10.9324,44.0438,计算机I,2010-10-19
