,pe,pb,ps,pcf,roe,dyr,cap,open,close,low,high,pre_close,volume,money
2016-12-28,13.82,2.9,4.01,21.59,20.99,,19.42,13.04,14.23,13.04,14.23,9.88,11631.0,165244.96
2016-12-29,15.21,3.19,4.41,23.76,20.99,,21.36,15.66,15.66,15.66,15.66,14.23,8582.0,134343.72
2016-12-30,16.73,3.51,4.85,26.13,20.99,,23.5,17.22,17.22,17.22,17.22,15.66,6798.0,117049.66
2017-01-03,18.4,3.86,5.34,28.74,20.99,0.83,25.85,18.94,18.94,18.94,18.94,17.22,1637.0,31008.0
2017-01-04,20.24,4.25,5.87,31.62,20.99,0.75,28.43,20.83,20.83,20.83,20.83,18.94,5424.0,112996.0
2017-01-05,22.26,4.67,6.46,34.78,20.99,0.68,31.27,22.92,22.92,22.92,22.92,20.83,4143.0,94949.05
2017-01-06,24.49,5.14,7.1,38.27,20.99,0.62,34.41,25.21,25.21,25.21,25.21,22.92,15394.0,388109.4
2017-01-09,26.94,5.65,7.81,42.09,20.99,0.56,37.85,27.73,27.73,27.73,27.73,25.21,28457.0,789219.42
2017-01-10,29.64,6.22,8.6,46.3,20.99,0.51,41.64,30.51,30.51,30.51,30.51,27.73,40768.0,1243773.58
2017-01-11,32.6,6.84,9.46,50.93,20.99,0.47,45.8,33.56,33.56,33.56,33.56,30.51,68292.0,2291714.24
2017-01-12,35.86,7.53,10.4,56.02,20.99,0.42,50.37,36.91,36.91,36.91,36.91,33.56,660425.0,24375927.06
2017-01-13,39.45,8.28,11.44,61.62,20.99,0.39,55.41,37.92,40.6,35.19,40.6,36.91,24568718.0,945815461.23
2017-01-16,38.54,8.09,11.18,60.22,20.99,0.39,54.14,38.38,39.67,37.25,40.84,40.6,17297871.0,673270084.64
2017-01-17,37.88,7.95,10.99,59.18,20.99,0.4,53.21,38.8,38.99,35.71,40.54,39.67,18852669.0,718217793.62
2017-01-18,38.73,8.13,11.23,60.51,20.99,0.39,54.41,37.85,39.87,37.25,41.53,38.99,18671760.0,737589829.68
2017-01-19,36.79,7.72,10.67,57.47,20.99,0.41,51.68,38.01,37.87,36.16,40.04,39.87,12401172.0,473058733.63
2017-01-20,40.47,8.49,11.74,63.23,20.99,0.38,56.85,37.68,41.66,37.68,41.66,37.87,8242963.0,329123143.33
